         144609954 function calls (139088277 primitive calls) in 182.004 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4400    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       74    0.001    0.000    0.001    0.000 selections.py:145(__init__)
      127    0.001    0.000    0.006    0.000 datetimes.py:568(_simple_new)
       75    0.001    0.000    0.004    0.000 series.py:2894(_sanitize_array)
      144    0.001    0.000    0.003    0.000 dtypes.py:44(__bytes__)
      196    0.001    0.000    0.001    0.000 numeric.py:2667(seterr)
        1    0.001    0.001    0.008    0.008 datetimes.py:410(_generate)
     1539    0.001    0.000    0.001    0.000 {iter}
       48    0.001    0.000    0.041    0.001 internals.py:3013(apply)
       72    0.001    0.000    0.004    0.000 {map}
        6    0.001    0.000    0.001    0.000 {numpy.core.multiarray.zeros}
       30    0.001    0.000    0.118    0.004 frame.py:2505(_sanitize_column)
     2376    0.001    0.000    0.001    0.000 {issubclass}
       48    0.001    0.000    0.001    0.000 {fcntl.ioctl}
      459    0.001    0.000    0.002    0.000 common.py:296(is_datetime64_dtype)
      227    0.001    0.000    0.001    0.000 generic.py:117(__init__)
     1512    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       24    0.000    0.000    0.002    0.000 format.py:189(_get_footer)
      517    0.000    0.000    0.001    0.000 config.py:602(_warn_if_deprecated)
      268    0.000    0.000    0.000    0.000 generic.py:3067(__getattr__)
       49    0.000    0.000    0.004    0.000 concat.py:25(get_dtype_kinds)
      196    0.000    0.000    0.000    0.000 numeric.py:2767(geterr)
      632    0.000    0.000    0.003    0.000 common.py:475(is_categorical_dtype)
    29/27    0.000    0.000    0.010    0.000 datetimes.py:260(__new__)
      135    0.000    0.000    0.001    0.000 internals.py:2820(shape)
       24    0.000    0.000    0.109    0.005 series.py:974(__unicode__)
       48    0.000    0.000    0.001    0.000 terminal.py:98(ioctl_GWINSZ)
       24    0.000    0.000    0.032    0.001 ops.py:809(wrapper)
       24    0.000    0.000    0.029    0.001 format.py:172(_chk_truncate)
       55    0.000    0.000    0.002    0.000 datetimelike.py:259(__getitem__)
       74    0.000    0.000    0.004    0.000 selections.py:27(select)
      122    0.000    0.000    0.001    0.000 base.py:367(_simple_new)
       49    0.000    0.000    0.001    0.000 internals.py:3612(iget)
       74    0.000    0.000    0.000    0.000 {h5py.h5t.py_create}
     1488    0.000    0.000    0.001    0.000 printing.py:59(_join_unicode)
       48    0.000    0.000    0.127    0.003 indexing.py:1133(_convert_to_indexer)
      238    0.000    0.000    0.001    0.000 internals.py:222(mgr_locs)
      166    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      388    0.000    0.000    0.001    0.000 series.py:320(name)
       24    0.000    0.000    0.076    0.003 format.py:243(to_string)
      291    0.000    0.000    0.001    0.000 common.py:84(is_object_dtype)
      517    0.000    0.000    0.005    0.000 config.py:223(__call__)
     1515    0.000    0.000    0.000    0.000 {pandas._libs.lib.checknull}
      517    0.000    0.000    0.001    0.000 config.py:589(_translate_key)
      498    0.000    0.000    0.001    0.000 common.py:333(is_datetime64tz_dtype)
      146    0.000    0.000    0.001    0.000 common.py:182(is_bool_indexer)
      180    0.000    0.000    0.001    0.000 base.py:2435(get_loc)
      174    0.000    0.000    0.001    0.000 dtypes.py:489(is_dtype)
       24    0.000    0.000    0.050    0.002 format.py:1726(format_array)
       24    0.000    0.000    0.113    0.005 indexing.py:495(setter)
       85    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
       26    0.000    0.000    0.001    0.000 missing.py:119(_isnull_ndarraylike)
       97    0.000    0.000    0.001    0.000 base.py:1672(__getitem__)
      101    0.000    0.000    0.000    0.000 dtypes.py:183(__new__)
     1488    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
       24    0.000    0.000    0.127    0.005 indexing.py:210(_convert_tuple)
      197    0.000    0.000    0.000    0.000 generic.py:355(_get_axis_name)
      517    0.000    0.000    0.000    0.000 config.py:528(_select_options)
       54    0.000    0.000    0.000    0.000 offsets.py:495(freqstr)
       25    0.000    0.000    0.017    0.001 concat.py:356(get_result)
      235    0.000    0.000    0.001    0.000 numeric.py:463(asarray)
      145    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       25    0.000    0.000    0.003    0.000 internals.py:4317(form_blocks)
       76    0.000    0.000    0.001    0.000 internals.py:214(make_block_same_class)
       74    0.000    0.000    0.001    0.000 selections.py:242(__init__)
      110    0.000    0.000    0.000    0.000 base.py:1638(__contains__)
      273    0.000    0.000    0.000    0.000 {min}
       74    0.000    0.000    0.000    0.000 selections.py:402(_expand_ellipsis)
       73    0.000    0.000    0.005    0.000 generic.py:1640(_get_item_cache)
      317    0.000    0.000    0.001    0.000 common.py:222(is_datetimetz)
        4    0.000    0.000    0.000    0.000 group.py:157(__getitem__)
       30    0.000    0.000    0.002    0.000 datetimes.py:700(parse_time_string)
       37    0.000    0.000    0.000    0.000 shape_base.py:63(atleast_2d)
     1589    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       24    0.000    0.000    0.288    0.012 indexing.py:173(__setitem__)
      278    0.000    0.000    0.000    0.000 base.py:559(values)
      518    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.001    0.000 terminal.py:23(get_terminal_size)
       24    0.000    0.000    0.106    0.004 series.py:993(to_string)
       25    0.000    0.000    0.006    0.000 base.py:1706(append)
        1    0.000    0.000    0.000    0.000 files.py:72(make_fid)
       48    0.000    0.000    0.000    0.000 internals.py:4665(_get_blkno_placements)
      253    0.000    0.000    0.001    0.000 common.py:371(is_timedelta64_dtype)
       96    0.000    0.000    0.000    0.000 base.py:1351(_convert_slice_indexer)
     1440    0.000    0.000    0.000    0.000 {method 'ljust' of 'unicode' objects}
      273    0.000    0.000    0.000    0.000 base.py:522(_reset_identity)
       24    0.000    0.000    0.002    0.000 concat.py:390(_concat_datetimetz)
       24    0.000    0.000    0.014    0.001 datetimes.py:834(_format_native_types)
       28    0.000    0.000    0.000    0.000 parser.py:68(get_token)
     1440    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 windows.py:1159(gaussian)
      124    0.000    0.000    0.000    0.000 dtypes.py:367(is_dtype)
      110    0.000    0.000    0.002    0.000 common.py:1549(is_extension_type)
       24    0.000    0.000    0.110    0.005 base.py:54(__bytes__)
     1440    0.000    0.000    0.000    0.000 {method 'rjust' of 'unicode' objects}
       24    0.000    0.000    0.014    0.001 datetimelike.py:246(_format_with_header)
      151    0.000    0.000    0.001    0.000 dtypes.py:145(construct_from_string)
       48    0.000    0.000    0.003    0.000 internals.py:4178(get_slice)
     1466    0.000    0.000    0.000    0.000 {id}
        6    0.000    0.000    0.002    0.000 {pandas._libs.tslib.parse_datetime_string_with_reso}
       49    0.000    0.000    0.002    0.000 internals.py:3583(get)
       31    0.000    0.000    0.046    0.001 indexing.py:1891(convert_to_index_sliceable)
       31    0.000    0.000    0.011    0.000 frame.py:261(__init__)
      174    0.000    0.000    0.000    0.000 common.py:1456(is_float_dtype)
      145    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      197    0.000    0.000    0.001    0.000 generic.py:368(_get_axis)
       74    0.000    0.000    0.001    0.000 fromnumeric.py:1837(product)
       54    0.000    0.000    0.001    0.000 base.py:404(_shallow_copy)
       30    0.000    0.000    0.022    0.001 generic.py:1758(_set_item)
       30    0.000    0.000    0.205    0.007 frame.py:2385(_set_item)
      101    0.000    0.000    0.001    0.000 missing.py:47(_isnull_new)
      173    0.000    0.000    0.000    0.000 {zip}
      109    0.000    0.000    0.117    0.001 generic.py:3122(_protect_consolidate)
       24    0.000    0.000    0.030    0.001 format.py:152(__init__)
       26    0.000    0.000    0.001    0.000 missing.py:247(array_equivalent)
     1440    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       51    0.000    0.000    0.002    0.000 series.py:2911(_try_cast)
       32    0.000    0.000    0.002    0.000 internals.py:2779(__init__)
       24    0.000    0.000    0.000    0.000 common.py:205(_default_index)
       48    0.000    0.000    0.004    0.000 series.py:707(_get_values)
      100    0.000    0.000    0.000    0.000 generic.py:3050(__finalize__)
        6    0.000    0.000    0.002    0.000 internals.py:3795(insert)
      126    0.000    0.000    0.001    0.000 common.py:1099(is_datetime_or_timedelta_dtype)
      257    0.000    0.000    0.001    0.000 common.py:117(is_sparse)
     1440    0.000    0.000    0.000    0.000 {thread.get_ident}
      102    0.000    0.000    0.001    0.000 common.py:1334(needs_i8_conversion)
        6    0.000    0.000    0.000    0.000 datetimes.py:545(<lambda>)
       24    0.000    0.000    0.001    0.000 nanops.py:53(_f)
       24    0.000    0.000    0.000    0.000 _strptime.py:299(_strptime)
       74    0.000    0.000    0.000    0.000 selections.py:166(nselect)
      420    0.000    0.000    0.000    0.000 datetimes.py:1542(_get_freq)
       24    0.000    0.000    0.002    0.000 series.py:2364(_reduce)
       91    0.000    0.000    0.000    0.000 numeric.py:129(asi8)
       48    0.000    0.000    0.001    0.000 indexing.py:232(_convert_scalar_indexer)
      113    0.000    0.000    0.001    0.000 common.py:190(is_categorical)
       24    0.000    0.000    0.001    0.000 terminal.py:97(_get_terminal_size_linux)
       98    0.000    0.000    0.001    0.000 numeric.py:3069(__exit__)
       24    0.000    0.000    0.001    0.000 concat.py:100(_concat_compat)
       25    0.000    0.000    0.010    0.000 frame.py:358(_init_dict)
       26    0.000    0.000    0.000    0.000 cast.py:336(infer_dtype_from_scalar)
       49    0.000    0.000    0.002    0.000 series.py:257(from_array)
      405    0.000    0.000    0.000    0.000 internals.py:2822(<genexpr>)
       25    0.000    0.000    0.005    0.000 internals.py:4306(create_block_manager_from_arrays)
       49    0.000    0.000    0.002    0.000 frame.py:2305(_box_item_values)
      288    0.000    0.000    0.000    0.000 base.py:3375(_validate_indexer)
       25    0.000    0.000    0.035    0.001 concat.py:21(concat)
      196    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
      139    0.000    0.000    0.001    0.000 common.py:1508(is_bool_dtype)
      153    0.000    0.000    0.000    0.000 {pandas._libs.tslib.maybe_get_tz}
       24    0.000    0.000    0.008    0.000 format.py:293(adjoin)
       30    0.000    0.000    0.000    0.000 base.py:1658(contains)
      335    0.000    0.000    0.000    0.000 internals.py:2897(_get_items)
       54    0.000    0.000    0.000    0.000 StringIO.py:54(__init__)
       24    0.000    0.000    0.002    0.000 frame.py:5509(extract_index)
       68    0.000    0.000    0.000    0.000 common.py:1673(_get_dtype)
       24    0.000    0.000    0.037    0.002 internals.py:3411(copy)
       57    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       74    0.000    0.000    0.000    0.000 dataset.py:404(<genexpr>)
       24    0.000    0.000    0.001    0.000 fromnumeric.py:2174(amax)
       30    0.000    0.000    0.047    0.002 datetimes.py:1481(_get_string_slice)
       24    0.000    0.000    0.038    0.002 generic.py:3413(copy)
       48    0.000    0.000    0.005    0.000 indexing.py:1689(_get_slice_axis)
      174    0.000    0.000    0.001    0.000 common.py:439(is_interval_dtype)
       25    0.000    0.000    0.001    0.000 indexing.py:1928(check_bool_indexer)
    58/27    0.000    0.000    0.010    0.000 _decorators.py:65(wrapper)
       25    0.000    0.000    0.035    0.001 frame.py:2525(reindexer)
       72    0.000    0.000    0.000    0.000 generic.py:1607(_indexer)
       25    0.000    0.000    0.006    0.000 concat.py:421(_get_new_axes)
       98    0.000    0.000    0.001    0.000 numeric.py:3064(__enter__)
       36    0.000    0.000    0.000    0.000 internals.py:3304(_consolidate_check)
       82    0.000    0.000    0.049    0.001 generic.py:3135(f)
      144    0.000    0.000    0.000    0.000 dtypes.py:251(__unicode__)
       54    0.000    0.000    0.000    0.000 datetimelike.py:306(freqstr)
       49    0.000    0.000    0.000    0.000 generic.py:1654(_set_as_cached)
      296    0.000    0.000    0.000    0.000 dataset.py:405(<genexpr>)
       48    0.000    0.000    0.001    0.000 indexing.py:238(_convert_slice_indexer)
       24    0.000    0.000    0.000    0.000 nanops.py:152(_has_infs)
       48    0.000    0.000    0.006    0.000 indexing.py:1317(__getitem__)
       24    0.000    0.000    0.000    0.000 {pandas._libs.lib.get_blkno_indexers}
       30    0.000    0.000    0.000    0.000 internals.py:3001(_verify_integrity)
      334    0.000    0.000    0.000    0.000 internals.py:185(mgr_locs)
       48    0.000    0.000    0.001    0.000 format.py:324(_get_adjustment)
       98    0.000    0.000    0.000    0.000 numeric.py:3060(__init__)
       98    0.000    0.000    0.001    0.000 common.py:972(is_datetime64_any_dtype)
      281    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x100161d60}
       24    0.000    0.000    0.000    0.000 internals.py:554(_try_cast_result)
       72    0.000    0.000    0.000    0.000 StringIO.py:119(read)
       26    0.000    0.000    0.001    0.000 base.py:1961(equals)
      146    0.000    0.000    0.000    0.000 __init__.py:166(iteritems)
       49    0.000    0.000    0.002    0.000 frame.py:2312(_box_col_values)
       26    0.000    0.000    0.000    0.000 dtypes.py:241(construct_from_string)
       24    0.000    0.000    0.000    0.000 datetimelike.py:597(_convert_scalar_indexer)
        2    0.000    0.000    0.000    0.000 dataset.py:305(__init__)
       78    0.000    0.000    0.000    0.000 base.py:502(is_)
      122    0.000    0.000    0.000    0.000 {max}
      598    0.000    0.000    0.000    0.000 base.py:232(id)
        3    0.000    0.000    0.148    0.049 datetimes.py:63(f)
       24    0.000    0.000    0.048    0.002 format.py:1780(get_result)
        6    0.000    0.000    0.001    0.000 parser.py:622(_parse)
       92    0.000    0.000    0.000    0.000 common.py:787(is_signed_integer_dtype)
       77    0.000    0.000    0.000    0.000 datetimes.py:1660(dtype)
       24    0.000    0.000    0.000    0.000 range.py:125(_simple_new)
      111    0.000    0.000    0.000    0.000 inference.py:233(is_list_like)
       24    0.000    0.000    0.000    0.000 internals.py:1579(_can_hold_element)
       57    0.000    0.000    0.000    0.000 generic.py:1736(_clear_item_cache)
       24    0.000    0.000    0.127    0.005 indexing.py:144(_get_setitem_indexer)
       26    0.000    0.000    0.000    0.000 {pandas._libs.lib.array_equivalent_object}
       24    0.000    0.000    0.000    0.000 concat.py:64(_get_series_result_type)
       24    0.000    0.000    0.002    0.000 generic.py:6328(stat_func)
      127    0.000    0.000    0.000    0.000 internals.py:2986(__len__)
       25    0.000    0.000    0.007    0.000 frame.py:5489(_arrays_to_mgr)
       52    0.000    0.000    0.000    0.000 internals.py:4557(_extend_blocks)
       53    0.000    0.000    0.000    0.000 generic.py:342(_get_axis_number)
       26    0.000    0.000    0.035    0.001 internals.py:625(copy)
      124    0.000    0.000    0.000    0.000 common.py:406(is_period_dtype)
       51    0.000    0.000    0.000    0.000 cast.py:759(maybe_castable)
       73    0.000    0.000    0.005    0.000 frame.py:1966(_getitem_column)
       25    0.000    0.000    0.006    0.000 concat.py:457(_get_concat_axis)
       48    0.000    0.000    0.006    0.000 indexing.py:1720(_getitem_axis)
       24    0.000    0.000    0.000    0.000 StringIO.py:208(write)
       72    0.000    0.000    0.000    0.000 __init__.py:273(u)
       24    0.000    0.000    0.001    0.000 nanops.py:89(f)
      144    0.000    0.000    0.003    0.000 dtypes.py:32(__str__)
      294    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       52    0.000    0.000    0.000    0.000 common.py:508(is_string_dtype)
      172    0.000    0.000    0.000    0.000 selections.py:458(_translate_int)
       24    0.000    0.000    0.014    0.001 format.py:227(_get_formatted_index)
       25    0.000    0.000    0.000    0.000 frame.py:5787(_homogenize)
       50    0.000    0.000    0.000    0.000 generic.py:3140(_consolidate)
       24    0.000    0.000    0.000    0.000 range.py:45(__new__)
      392    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
        5    0.000    0.000    0.000    0.000 numeric.py:660(require)
       24    0.000    0.000    0.002    0.000 datetimelike.py:840(_append_same_dtype)
       24    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
       49    0.000    0.000    0.001    0.000 generic.py:145(_validate_dtype)
       24    0.000    0.000    0.001    0.000 common.py:1223(is_datetimelike_v_numeric)
       96    0.000    0.000    0.002    0.000 format.py:290(justify)
       55    0.000    0.000    0.000    0.000 generic.py:436(ndim)
       64    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.ndarray' objects}
       89    0.000    0.000    0.000    0.000 common.py:836(is_unsigned_integer_dtype)
       54    0.000    0.000    0.065    0.001 generic.py:1792(_check_setitem_copy)
      108    0.000    0.000    0.000    0.000 internals.py:2824(ndim)
       26    0.000    0.000    0.000    0.000 common.py:547(is_period_arraylike)
       69    0.000    0.000    0.000    0.000 numeric.py:534(asanyarray)
      101    0.000    0.000    0.001    0.000 missing.py:26(isnull)
       24    0.000    0.000    0.050    0.002 format.py:239(_get_formatted_values)
       88    0.000    0.000    0.001    0.000 _methods.py:37(_any)
       24    0.000    0.000    0.000    0.000 {bottleneck.reduce.nanmedian}
      155    0.000    0.000    0.000    0.000 {sum}
      396    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       82    0.000    0.000    0.049    0.001 generic.py:3132(_consolidate_inplace)
       48    0.000    0.000    0.005    0.000 series.py:593(_slice)
       70    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
       49    0.000    0.000    0.000    0.000 internals.py:332(iget)
       24    0.000    0.000    0.000    0.000 numeric.py:134(_convert_scalar_indexer)
       52    0.000    0.000    0.000    0.000 datetimelike.py:128(equals)
       50    0.000    0.000    0.000    0.000 selections.py:471(_translate_slice)
       24    0.000    0.000    0.001    0.000 missing.py:188(notnull)
       82    0.000    0.000    0.043    0.001 internals.py:3560(consolidate)
      120    0.000    0.000    0.000    0.000 series.py:461(__len__)
       49    0.000    0.000    0.001    0.000 dtypes.py:263(__eq__)
       24    0.000    0.000    0.001    0.000 base.py:705(view)
       24    0.000    0.000    0.014    0.001 base.py:1884(format)
